Genre,Movie Name,Duration,Duration Minutes,Rating,Votes
Action,Kraven the Hunter,2h 7m,127,5.5,52000
Action,Gladiator II,2h 28m,148,6.5,224000
Action,Twisters,2h 2m,122,6.5,165000
Action,Sonic the Hedgehog 3,1h 50m,110,6.9,56000
Action,Venom: The Last Dance,1h 50m,110,6.0,114000
Action,Deadpool & Wolverine,2h 8m,128,7.6,487000
Action,Pushpa: The Rule - Part 2,3h 21m,201,6.1,55000
Action,Dune: Part Two,2h 46m,166,8.5,620000
Action,The Ministry of Ungentlemanly Warfare,2h 2m,122,6.8,134000
Action,Freaky Tales,1h 46m,106,7.1,732
Action,The Beekeeper,1h 45m,105,6.3,155000
Action,Carry-On,1h 59m,119,6.5,163000
Action,Furiosa: A Mad Max Saga,2h 28m,148,7.5,283000
Action,Civil War,1h 49m,109,7.0,235000
Action,Fight or Flight,1h 37m,97,6.4,5900
Action,Solo Leveling: ReAwakening,2h 1m,121,8.9,11000
Action,Borderlands,1h 41m,101,4.7,47000
Action,Elevation,1h 31m,91,5.6,21000
Action,The Fall Guy,2h 6m,126,6.8,219000
Action,The Count of Monte-Cristo,2h 58m,178,7.6,33000
Action,Transformers One,1h 44m,104,7.6,49000
Action,Hellboy: The Crooked Man,1h 39m,99,4.5,13000
Action,The Lord of the Rings: The War of the Rohirrim,2h 14m,134,6.3,29000
Action,The Crow,1h 51m,111,4.7,34000
Action,William Tell,2h 13m,133,5.7,2200
Action,Madame Web,1h 56m,116,4.0,100000
Action,Rebel Ridge,2h 11m,131,6.8,87000
Action,Road House,2h 1m,121,6.2,167000
Action,Bad Boys: Ride or Die,1h 55m,115,6.5,99000
Action,Kingdom of the Planet of the Apes,2h 25m,145,6.9,151000
Action,Godzilla x Kong: The New Empire,1h 55m,115,6.0,121000
Action,Argylle,2h 19m,139,5.6,92000
Action,Marco,2h 25m,145,6.9,21000
Action,Damsel,1h 50m,110,6.1,109000
Action,Red One,2h 3m,123,6.3,139000
Action,Homestead,1h 52m,112,5.3,3500
Action,Love Lies Bleeding,1h 44m,104,6.6,56000
Action,The Killer's Game,1h 44m,104,5.8,17000
Action,Land of Bad,1h 53m,113,6.6,51000
Action,Monkey Man,2h 1m,121,6.8,91000
Action,Uglies,1h 40m,100,4.7,32000
Action,Old Guy,1h 34m,94,5.2,2200
Action,Dirty Angels,1h 44m,104,4.3,3300
Action,Blitz,2h,120,6.2,16000
Action,The Union,1h 47m,107,5.4,53000
Action,Kung Fu Panda 4,1h 34m,94,6.3,67000
Action,Toofan,2h 25m,145,7.4,7500
Action,Thelma,1h 38m,98,7.0,22000
Action,Arcadian,1h 32m,92,5.5,23000
Action,Attack on Titan the Movie: The Last Attack,2h 25m,145,9.2,15000
Action,Gunner,1h 46m,106,3.2,2500
Action,Lift,1h 47m,107,5.5,49000
Action,Werewolves,1h 33m,93,4.4,6300
Action,The Killer,2h 6m,126,5.7,13000
Action,Aftermath,1h 37m,97,5.1,3800
Action,Beverly Hills Cop: Axel F,1h 58m,118,6.4,81000
Action,Maharaja,2h 21m,141,8.4,66000
Action,Survive,1h 30m,90,4.6,2300
Action,The Instigators,1h 41m,101,6.2,37000
Action,Twilight of the Warriors: Walled In,2h 6m,126,7.0,9300
Action,Drive-Away Dolls,1h 24m,84,5.4,23000
Action,Absolution,1h 52m,112,5.2,7700
Action,Apocalypse Z: The Beginning of the End,1h 57m,117,6.1,20000
Action,Azrael,1h 26m,86,5.4,10000
Action,Classified,1h 45m,105,3.6,2400
Action,Atlas,1h 58m,118,5.6,56000
Action,The Prosecutor,1h 57m,117,6.7,1700
Action,Rebel Moon - Part Two: The Scargiver,2h 2m,122,5.3,59000
Action,Descendants: The Rise of Red,1h 31m,91,4.7,7000
Action,Kalki 2898 AD,3h,180,7.0,66000
Action,Long Gone Heroes,1h 41m,101,5.2,1000
Action,Brothers,1h 29m,89,5.4,13000
Action,Canary Black,1h 41m,101,5.3,11000
Action,Under Paris,1h 44m,104,5.2,36000
Action,Trigger Warning,1h 46m,106,4.6,19000
Action,Armor,1h 29m,89,3.6,3700
Action,Watchmen: Chapter I,1h 23m,83,7.0,6400
Action,One More Shot,1h 43m,103,5.4,3600
Action,Amaran,2h 47m,167,8.2,18000
Action,The Shadow Strays,2h 24m,144,6.5,9100
Action,Jackpot!,1h 46m,106,5.8,30000
Action,Cash Out,1h 32m,92,4.8,2900
Action,Weekend in Taipei,1h 40m,100,5.7,4500
Action,The Silent Hour,1h 39m,99,6.1,7300
Action,Duchess,1h 54m,114,4.6,1300
Action,Watchmen: Chapter II,1h 30m,90,7.0,2900
Action,Red Right Hand,1h 51m,111,5.5,5800
Action,Chief of Station,1h 37m,97,4.7,4600
Action,Fighter,2h 46m,166,6.2,52000
Action,Boneyard,1h 36m,96,4.1,4900
Action,Rogue Elements: A Ryan Drake Story,44m,44,4.7,946
Action,Hitpig,1h 26m,86,5.1,905
Action,Aavesham,2h 35m,155,7.8,28000
Action,Karma,2h 47m,167,8.0,1400
Action,Harbin,1h 48m,108,6.4,558
Action,Baby Invasion,1h 20m,80,4.6,387
Action,Uprising,2h 6m,126,6.6,5400
Action,No Way Up,1h 30m,90,4.6,10000
Action,Baby John,2h 39m,159,5.4,17000
Action,Megamind vs. The Doom Syndicate,1h 23m,83,2.5,5500
Action,Sikandar Ka Muqaddar,2h 22m,142,6.0,24000
Action,The Fix,1h 38m,98,4.6,1200
Action,River of Blood,1h 26m,86,5.3,1700
Action,Black Heat,1h 33m,93,8.6,117
Action,Viduthalai Part 2,2h 50m,170,7.9,16000
Action,The Wages of Fear,1h 44m,104,4.6,4100
Action,Damaged,1h 37m,97,4.7,7200
Action,Devil's Knight,1h 30m,90,5.4,800
Action,Dominique,1h 40m,100,5.3,2200
Action,The Quiet Ones,1h 50m,110,6.4,652
Action,Take Cover,1h 30m,90,5.1,2400
Action,Overlord: The Sacred Kingdom,2h 15m,135,6.9,877
Action,Operation Undead,1h 50m,110,4.6,394
Action,Devara Part 1,2h 56m,176,6.0,20000
Action,Role Play,1h 40m,100,5.5,19000
Action,Justice League: Crisis on Infinite Earths - Part One,1h 33m,93,6.2,8400
Action,Justice League: Crisis on Infinite Earths - Part Three,1h 34m,94,6.1,4400
Action,Trouble,1h 38m,98,6.2,6700
Action,Levels,1h 33m,93,5.0,1500
Action,Prey,1h 26m,86,3.7,3300
Action,Singham Again,2h 24m,144,4.8,75000
Action,Bangkok Dog,1h 25m,85,5.0,148
Action,Anaconda,1h 24m,84,4.8,622
Action,Hagen,2h 19m,139,6.1,1200
Action,The Thundermans Return,1h 10m,70,5.0,1800
Action,Night Call,1h 37m,97,6.8,1900
Action,My Spy: The Eternal City,1h 52m,112,5.7,11000
Action,Dark Match,1h 34m,94,5.5,919
Action,The Roundup: Punishment,1h 49m,109,6.6,5200
Action,Hounds of War,1h 35m,95,4.5,1700
Action,Hanu Man,2h 38m,158,7.7,29000
Action,Rifle Club,1h 53m,113,7.0,4100
Action,Jigra,2h 33m,153,6.0,23000
Action,Mafia Wars,1h 34m,94,3.4,232
Action,"I, the Executioner",1h 58m,118,6.3,1700
Action,The Price of Money: A Largo Winch Adventure,1h 40m,100,5.0,1100
Action,Badland Hunters,1h 47m,107,5.9,12000
Action,Sunray: Fallen Soldier,1h 55m,115,4.3,622
Action,Ultraman: Rising,1h 57m,117,6.9,6300
Action,The Clean Up Crew,1h 35m,95,4.1,1100
Action,Death Whisperer 2,1h 50m,110,6.4,1300
Action,Bougainvillea,2h 18m,138,6.4,3100
Action,Officer Black Belt,1h 48m,108,6.8,8100
Action,Panda Plan,1h 39m,99,5.1,1200
Action,Code 8: Part II,1h 40m,100,5.7,16000
Action,Pani,2h 23m,143,6.9,2900
Action,The Courier,1h 41m,101,6.0,4400
Action,Joe Baby,1h 26m,86,7.6,29
Action,Air Force One Down,1h 24m,84,4.4,2900
Action,Cesium Fallout,2h 16m,136,6.6,559
Action,11 Rebels,2h 35m,155,6.2,353
Action,Rats!,1h 25m,85,6.5,114
Action,A Legend,2h 9m,129,4.7,884
Action,My Hero Academia: You're Next,1h 50m,110,7.0,2000
Action,Cloud,2h 4m,124,6.3,1000
Action,Vanvaas,2h 40m,160,6.6,1300
Action,Kill Em All 2,1h 28m,88,4.1,1300
Action,Dan Da Dan: First Encounter,1h 23m,83,8.2,2700
Action,Article 370,2h 38m,158,7.8,25000
Action,Darkness of Man,1h 49m,109,4.8,3100
Action,200% Wolf,1h 38m,98,5.9,1300
Action,Latency,1h 34m,94,4.2,2400
Action,Elyas,1h 45m,105,6.1,1300
Action,Operation Blood Hunt,1h 33m,93,3.4,477
Action,The Tiger's Apprentice,1h 24m,84,5.7,2200
Action,Life After Fighting,2h 6m,126,6.4,2000
Action,Simarik,1h 51m,111,6.4,2500
Action,Die Hart 2: Die Harter,1h 32m,92,4.3,5500
Action,Raqa,1h 47m,107,5.7,174
Action,Murder Company,1h 26m,86,3.7,1500
Action,Lights Out,1h 30m,90,4.9,1800
Action,Justice League: Crisis on Infinite Earths - Part Two,1h 34m,94,5.5,5300
Action,Black Creek,1h 56m,116,8.6,7
Action,City Hunter,1h 42m,102,6.3,5600
Action,Snow White and the Seven Samurai,1h 28m,88,3.2,285
Action,Hijack 1971,1h 40m,100,6.8,3300
Action,Revolver,1h 54m,114,5.4,842
Action,One Fast Move,1h 48m,108,5.0,2200
Action,Sixty Minutes,1h 28m,88,5.7,5200
Action,Khadaan,2h 17m,137,7.2,2100
Action,Outlaw,1h 22m,82,5.2,922
Action,Golden Kamuy,2h 7m,127,6.3,2500
Action,Agent Recon,1h 25m,85,2.4,668
Action,Freedom,1h 50m,110,5.9,1400
Action,Agni,2h 2m,122,7.3,15000
Action,Alien Country,1h 36m,96,4.4,361
Action,Utopia,1h 31m,91,3.6,357
Action,Angels Fallen: Warriors of Peace,1h 43m,103,4.9,5800
Action,How to Rob a Bank,1h 28m,88,6.6,4200
Action,Arena Wars,1h 36m,96,4.9,2000
Action,The Twisters,1h 26m,86,2.6,325
Action,The Last Kumite,1h 45m,105,4.6,2300
Action,Wynonna Earp: Vengeance,1h 36m,96,5.5,1500
Action,Jacob Tyler,2h 13m,133,4.3,55
Action,Hellhound,1h 43m,103,4.3,502
Action,Handsome Guys,1h 41m,101,6.5,801
Action,Zero,1h 28m,88,6.1,41
Action,Fight Another Day,1h 37m,97,4.9,345
Action,Wanted Man,1h 25m,85,4.8,2600
Action,Paradox Effect,1h 27m,87,6.0,8600
Action,Heart of the Hunter,1h 45m,105,4.7,2100
Action,Continental Split,1h 28m,88,3.5,544
Action,Tales Beyond the Galaxy,1h 16m,76,4.8,171
Action,Vettaiyan,2h 43m,163,7.0,39000
Action,Nice Girls,1h 32m,92,4.2,1200
Action,72 Hours,1h 27m,87,4.1,285
Action,Striking Rescue,1h 46m,106,5.6,382
Action,Saripodhaa Sanivaaram,2h 46m,166,7.0,9000
Action,Sorgavaasal,2h 18m,138,6.6,1300
Action,Alien: Rubicon,1h 26m,86,2.4,336
Action,Agents,1h 22m,82,3.4,924
Action,Troubleshooters,1h 50m,110,6.7,409
Action,Bade Miyan Chote Miyan,2h 43m,163,3.7,39000
Action,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,104,7.1,8400
Action,London Calling,1h 49m,109,7.8,20
Action,The Hangman,1h 32m,92,3.3,997
Action,Terminator: Skynet Rising,1h 28m,88,6.8,263
Action,Roadkill,1h 30m,90,3.7,677
Action,Max,2h 12m,132,7.1,3300
Action,WWII: Operation Phoenix,1h 46m,106,6.2,71
Action,Escape,1h 34m,94,6.4,2000
Action,Ferry 2,1h 34m,94,5.6,3700
Action,No Time to Spy: A Loud House Movie,1h 21m,81,6.4,444
Action,War of the Worlds: Extinction,1h 24m,84,3.1,200
Action,Murder at Hollow Creek,1h 24m,N/A,4.1,82
Action,Savi,2h 6m,126,6.2,35000
Action,Chandu Champion,2h 22m,142,7.8,34000
Action,The Family Star,2h 39m,159,5.4,5400
Action,40 Acres,1h 53m,113,6.8,127
Action,Drive Back,1h 34m,94,4.7,298
Action,12 to Midnight,1h 36m,96,3.6,283
Action,Raayan,2h 25m,145,6.5,11000
Action,A.R.M,2h 30m,150,7.1,8600
Action,The Last Front,1h 38m,98,5.5,607
Action,Escape from the 21st Century,1h 38m,98,6.5,855
Action,The Lockdown,1h 57m,117,4.3,603
Action,"Love, Courage and the Battle of Bushy Run",1h 53m,113,4.9,179
Action,GTMax,1h 40m,100,5.0,1200
Action,The Greatest of All Time,3h 3m,183,5.7,22000
Action,Stuntman,1h 54m,114,7.0,161
Action,Bionic,1h 50m,110,4.3,1700
Action,Thangalaan,2h 36m,156,6.6,6600
Action,Purushothamudu,2h,120,5.1,2200
Action,Kanguva,2h 32m,152,4.5,15000
Action,Get Fast,1h 28m,88,3.6,448
Action,Baby Assassins: Nice Days,1h 43m,103,7.3,290
Action,The Lost Tiger,1h 30m,90,7.8,44
Action,Vedaa,2h 25m,145,6.0,4300
Action,Big Rage,1h 55m,115,3.6,163
Action,Bagheera,2h 38m,158,6.7,7300
Action,KA,2h 31m,151,7.2,1500
Action,The Ballad of Davy Crockett,1h 36m,96,4.6,246
Action,The Last Ronin,1h 55m,115,4.8,566
Action,Ryan's World the Movie: Titan Universe Adventure,1h 20m,80,1.8,681
Action,Spiders on a Plane,1h 18m,78,5.2,371
Action,Exorcism Chronicles: The Beginning,1h 25m,85,7.2,96
Action,Indian 2,1h 25m,N/A,3.8,16000
Action,Invasion,1h 31m,91,4.8,671
Action,Yodha,2h 10m,130,5.7,8800
Action,Ghosts of Red Ridge,1h 21m,81,3.3,154
Action,Alienoid: The Return to the Future,2h 2m,122,6.5,2600
Action,Yolo,2h 9m,129,6.9,3700
Action,Everybody Loves Jenifa,2h 15m,135,8.3,82
Action,Pimpinero: Blood and Oil,2h 1m,121,5.6,544
Action,The Friendly,1h 41m,101,8.1,15
Action,Ka Whawhai Tonu,1h 55m,115,7.4,176
Action,Razakar: The Silent Genocide of Hyderabad,2h 46m,166,7.4,5300
Action,Guntur Kaaram,2h 39m,159,5.4,25000
Action,Tillu Square,2h 17m,137,6.6,3400
Action,Sons of Rizk 3,2h 5m,125,6.7,1700
Action,UI,2h 15m,135,6.9,5700
Action,The Last of Us: Immunity,1h 4m,64,5.8,14
Action,Mission: Cross,1h 45m,105,6.1,2600
Action,Don't Mess with Grandma,1h 21m,81,6.0,151
Action,Hunting with Tigers,1h 49m,109,5.6,521
Action,Kingdom 4: Return of the Great General,2h 25m,145,7.1,1300
Action,Ayalaan,2h 35m,155,6.0,4000
Action,The Moon Thieves,1h 48m,108,6.1,242
Action,Game of Death - The six Doors to Hell,1h 48m,N/A,N/A,N/A
Action,Mura,2h 9m,129,7.3,6200
Action,The Charisma Killers,1h 41m,101,6.2,653
Action,Customs Frontline,1h 55m,115,5.4,477
Action,Citizen of a Kind,1h 54m,114,6.7,792
Action,Auron Mein Kahan Dum Tha,2h 30m,150,6.6,41000
Action,Barroz: Guardian of Treasures,2h 35m,155,3.5,988
Action,Bureau 749,2h 3m,123,4.1,519
Action,Eagle,2h 39m,159,5.9,4900
Action,Je Jatt Vigarh Gya,2h 12m,132,5.7,821
Action,The Plot,1h 40m,100,4.8,375
Action,School of Magical Animals 3,1h 45m,105,5.9,307
Action,Cassino in Ischia,1h 53m,113,4.4,239
Action,Snatched,1h 41m,101,4.9,209
Action,Hunt the Wicked,1h 42m,102,5.3,109
Action,Deaner '89,1h 30m,90,5.9,416
Action,Cells at Work!,1h 49m,109,6.8,191
Action,Lady Scorpions,1h 41m,101,3.6,366
Action,Kondal,2h 27m,147,5.4,766
Action,Sabari,2h 9m,129,8.4,5400
Action,The Unbreakable Bunch,R,0,7.2,26
Action,Sasan,2h 35m,155,8.6,67
Action,The Actor,2h 8m,128,3.3,725
Action,Taken from Rio Bravo,1h 20m,80,3.0,311
Action,I Am What I Am 2,2h 14m,134,7.5,199
Action,Crakk: Jeetega... Toh Jiyegaa,2h 34m,154,4.7,6500
Action,Son's Will,2h 34m,N/A,7.4,843
Action,Shark Warning,1h 34m,94,3.4,261
Action,Crisis Negotiators,2h,120,6.7,706
Action,Garudan,2h 13m,133,7.1,3300
Action,First Nights at Freddy's,1h 38m,98,9.3,15
Action,Martin,2h 27m,147,2.3,36000
Action,Yudhra,2h 22m,142,5.0,13000
Action,Non Negotiable,1h 27m,87,5.4,1200
Action,Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,2h 54m,174,8.2,655
Action,(Pri)sons,1h 40m,100,5.1,267
Action,Sheriff,2h 13m,133,6.9,1100
Action,Baki Hanma VS Kengan Ashura,1h 2m,62,5.7,1900
Action,I Heart Robots,1h 16m,76,4.6,2400
Action,Team of Two,1h 16m,N/A,5.0,108
Action,The Firefighters,1h 46m,106,5.7,177
Action,Rajakili,2h 2m,122,7.4,569
Action,Operation Hope,2h 2m,N/A,7.0,22
Action,The Day Everything Changed,1h 37m,97,7.9,79
Action,Young Lion of the West,1h 33m,93,5.2,108
Action,American Underdog,1h 29m,89,8.8,23
Action,Art of Eight Limbs,1h 41m,101,3.9,309
Action,Alangu,2h 11m,131,8.2,1200
Action,Lal Salaam,2h 30m,150,4.5,1300
Action,Kahar: Kapla High Council,1h 42m,102,6.9,449
Action,Echo 8,1h 36m,96,3.9,187
Action,The Bouncer,1h 18m,78,4.2,84
Action,Reapers,1h 18m,N/A,8.7,573
