Genre,Movie Name,Duration,Duration Minutes,Rating,Votes,genre
Action,Kraven the Hunter,2h 7m,127.0,5.5,52000.0,Scripts\action_movies
Action,Gladiator II,2h 28m,148.0,6.5,224000.0,Scripts\action_movies
Action,Twisters,2h 2m,122.0,6.5,165000.0,Scripts\action_movies
Action,Sonic the Hedgehog 3,1h 50m,110.0,6.9,56000.0,Scripts\action_movies
Action,Venom: The Last Dance,1h 50m,110.0,6.0,114000.0,Scripts\action_movies
Action,Deadpool & Wolverine,2h 8m,128.0,7.6,487000.0,Scripts\action_movies
Action,Pushpa: The Rule - Part 2,3h 21m,201.0,6.1,55000.0,Scripts\action_movies
Action,Dune: Part Two,2h 46m,166.0,8.5,620000.0,Scripts\action_movies
Action,The Ministry of Ungentlemanly Warfare,2h 2m,122.0,6.8,134000.0,Scripts\action_movies
Action,Freaky Tales,1h 46m,106.0,7.1,732.0,Scripts\action_movies
Action,The Beekeeper,1h 45m,105.0,6.3,155000.0,Scripts\action_movies
Action,Carry-On,1h 59m,119.0,6.5,163000.0,Scripts\action_movies
Action,Furiosa: A Mad Max Saga,2h 28m,148.0,7.5,283000.0,Scripts\action_movies
Action,Civil War,1h 49m,109.0,7.0,235000.0,Scripts\action_movies
Action,Fight or Flight,1h 37m,97.0,6.4,5900.0,Scripts\action_movies
Action,Solo Leveling: ReAwakening,2h 1m,121.0,8.9,11000.0,Scripts\action_movies
Action,Borderlands,1h 41m,101.0,4.7,47000.0,Scripts\action_movies
Action,Elevation,1h 31m,91.0,5.6,21000.0,Scripts\action_movies
Action,The Fall Guy,2h 6m,126.0,6.8,219000.0,Scripts\action_movies
Action,The Count of Monte-Cristo,2h 58m,178.0,7.6,33000.0,Scripts\action_movies
Action,Transformers One,1h 44m,104.0,7.6,49000.0,Scripts\action_movies
Action,Hellboy: The Crooked Man,1h 39m,99.0,4.5,13000.0,Scripts\action_movies
Action,The Lord of the Rings: The War of the Rohirrim,2h 14m,134.0,6.3,29000.0,Scripts\action_movies
Action,The Crow,1h 51m,111.0,4.7,34000.0,Scripts\action_movies
