Genre,Movie Name,Duration,Duration Minutes,Rating,Votes
Comedy,Anora,2h 19m,139,7.5,174000
Comedy,Moana 2,1h 40m,100,6.6,98000
Comedy,A Real Pain,1h 30m,90,7.1,84000
Comedy,Sonic the Hedgehog 3,1h 50m,110,6.9,56000
Comedy,Y2K,1h 31m,91,4.8,12000
Comedy,Deadpool & Wolverine,2h 8m,128,7.6,487000
Comedy,The Ministry of Ungentlemanly Warfare,2h 2m,122,6.8,134000
Comedy,Freaky Tales,1h 46m,106,7.1,732
Comedy,The Day the Earth Blew Up: A Looney Tunes Movie,1h 31m,91,7.0,3600
Comedy,Riff Raff,1h 43m,103,5.7,2600
Comedy,Fight or Flight,1h 37m,97,6.4,5900
Comedy,Emilia Pérez,2h 12m,132,5.4,87000
Comedy,Borderlands,1h 41m,101,4.7,47000
Comedy,Paddington in Peru,1h 46m,106,6.7,19000
Comedy,Sacramento,1h 24m,84,5.6,519
Comedy,The Fall Guy,2h 6m,126,6.8,219000
Comedy,Saturday Night,1h 49m,109,6.9,30000
Comedy,Beetlejuice Beetlejuice,1h 45m,105,6.7,146000
Comedy,Despicable Me 4,1h 34m,94,6.2,64000
Comedy,Challengers,2h 11m,131,7.0,153000
Comedy,Inside Out 2,1h 36m,96,7.5,215000
Comedy,Kinds of Kindness,2h 44m,164,6.5,59000
Comedy,A Different Man,1h 52m,112,6.9,28000
Comedy,Bad Boys: Ride or Die,1h 55m,115,6.5,99000
Comedy,The Idea of You,1h 55m,115,6.3,73000
Comedy,My Old Ass,1h 29m,89,6.9,38000
Comedy,Argylle,2h 19m,139,5.6,92000
Comedy,It's What's Inside,1h 43m,103,6.6,41000
Comedy,Dead Talents Society,1h 51m,111,7.0,1600
Comedy,IF,1h 44m,104,6.4,58000
Comedy,A Nice Indian Boy,1h 36m,96,7.8,295
Comedy,Ricky Stanicky,1h 53m,113,6.2,56000
Comedy,Ghostbusters: Frozen Empire,1h 55m,115,6.1,93000
Comedy,Red One,2h 3m,123,6.3,139000
Comedy,Fly Me to the Moon,2h 12m,132,6.6,49000
Comedy,Friendship,1h 40m,100,7.4,256
Comedy,Nightbitch,1h 39m,99,5.5,19000
Comedy,Bob Trevino Likes It,1h 41m,101,8.0,689
Comedy,The Killer's Game,1h 44m,104,5.8,17000
Comedy,Snack Shack,1h 52m,112,7.0,12000
Comedy,My Dead Friend Zoe,1h 43m,103,6.7,2000
Comedy,Old Guy,1h 34m,94,5.2,2200
Comedy,Kneecap,1h 45m,105,7.6,17000
Comedy,F*** Marry Kill,1h 37m,97,5.3,2200
Comedy,Miller's Girl,1h 33m,93,5.2,23000
Comedy,The Union,1h 47m,107,5.4,53000
Comedy,Kung Fu Panda 4,1h 34m,94,6.3,67000
Comedy,Chosen Family,1h 28m,88,4.7,358
Comedy,Mean Girls,1h 52m,112,5.5,37000
Comedy,Thelma,1h 38m,98,7.0,22000
Comedy,A Family Affair,1h 51m,111,5.4,36000
Comedy,Misericordia,1h 44m,104,6.9,1900
Comedy,Spermageddon,1h 20m,80,5.8,750
Comedy,Lift,1h 47m,107,5.5,49000
Comedy,Upgraded,1h 44m,104,6.1,29000
Comedy,Holy Cow,1h 32m,92,7.2,1400
Comedy,Beverly Hills Cop: Axel F,1h 58m,118,6.4,81000
Comedy,The Instigators,1h 41m,101,6.2,37000
Comedy,Distant,1h 27m,87,5.7,3100
Comedy,The Garfield Movie,1h 41m,101,5.7,24000
Comedy,The Marching Band,1h 43m,103,7.4,2600
Comedy,Mittran Da Challeya Truck Ni,2h 11m,131,8.1,862
Comedy,Spellbound,1h 49m,109,5.6,7200
Comedy,Incoming,1h 31m,91,5.8,14000
Comedy,Drive-Away Dolls,1h 24m,84,5.4,23000
Comedy,Harold and the Purple Crayon,1h 30m,90,5.7,8200
Comedy,Eephus,1h 39m,99,7.2,460
Comedy,Greedy People,1h 52m,112,6.2,11000
Comedy,Get Away,1h 26m,86,5.3,6500
Comedy,Wallace & Gromit: Vengeance Most Fowl,1h 22m,82,7.5,34000
Comedy,Sister Midnight,1h 47m,107,6.6,362
Comedy,Hard Truths,1h 37m,97,7.3,5000
Comedy,Night of the Zoopocalypse,1h 31m,91,6.1,487
Comedy,Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,1h 42m,102,8.6,90
Comedy,Goodrich,1h 50m,110,6.3,5100
Comedy,Rumours,1h 44m,104,5.0,4500
Comedy,Brothers,1h 29m,89,5.4,13000
Comedy,Your Monster,1h 43m,103,6.4,5700
Comedy,The Mouse Trap,1h 20m,80,2.4,3200
Comedy,Superboys of Malegaon,2h 7m,127,8.0,1400
Comedy,How to Make Millions Before Grandma Dies,2h 5m,125,8.0,13000
Comedy,Teri Baaton Mein Aisa Uljha Jiya,2h 21m,141,6.2,54000
Comedy,Bloody Axe Wound,1h 23m,83,4.9,780
Comedy,Ghostlight,1h 55m,115,7.6,5800
Comedy,Lisa Frankenstein,1h 41m,101,6.1,28000
Comedy,Stree 2: Sarkate Ka Aatank,2h 27m,147,6.9,42000
Comedy,Jackpot!,1h 46m,106,5.8,30000
Comedy,Unfrosted,1h 37m,97,5.5,35000
Comedy,Modi: Three Days on the Wing of Madness,1h 50m,110,5.6,506
Comedy,When Fall Is Coming,1h 44m,104,6.8,1500
Comedy,The 4:30 Movie,1h 27m,87,6.0,3600
Comedy,Winner,1h 43m,103,6.5,2400
Comedy,Dìdi,1h 33m,93,7.3,12000
Comedy,The Visitor,1h 41m,101,4.4,203
Comedy,Mother of the Bride,1h 28m,88,4.8,17000
Comedy,Piece by Piece,1h 33m,93,6.9,5300
Comedy,Sketch,1h 32m,92,8.4,47
Comedy,The Uninvited,1h 37m,97,5.9,154
Comedy,Four Mothers,1h 29m,89,7.4,152
Comedy,Manamey,2h 35m,155,5.4,657
Comedy,Sex-Positive,1h 25m,85,4.0,726
Comedy,Babes,1h 44m,104,6.3,6300
Comedy,Our Little Secret,1h 41m,101,5.7,23000
Comedy,Hitpig,1h 26m,86,5.1,905
Comedy,Dear Santa,1h 47m,107,5.4,18000
Comedy,Thelma the Unicorn,1h 33m,93,5.7,2900
Comedy,Skincare,1h 36m,96,5.7,4400
Comedy,Time Travel Is Dangerous,1h 39m,99,6.7,145
Comedy,Aavesham,2h 35m,155,7.8,28000
Comedy,Sweethearts,1h 38m,98,5.5,3800
Comedy,Turn Me On,1h 39m,99,5.6,499
Comedy,The Wonderful Story of Henry Sugar and Three More,1h 28m,88,7.1,6500
Comedy,Standing on the Shoulders of Kitties,1h 51m,111,6.2,538
Comedy,Through My Window: Looking at You,1h 45m,105,5.4,5200
Comedy,Gelin Takimi,1h 49m,109,3.2,2400
Comedy,Lost & Found in Cleveland,PG-13,0,8.4,30
Comedy,Irish Wish,1h 33m,93,5.2,21000
Comedy,Megamind vs. The Doom Syndicate,1h 23m,83,2.5,5500
Comedy,Find Me Falling,1h 33m,93,6.3,13000
Comedy,Family Pack,1h 34m,94,5.5,8900
Comedy,Beautiful Wedding,1h 40m,100,4.1,4100
Comedy,The Best Christmas Pageant Ever,1h 39m,99,6.8,6100
Comedy,Orion and the Dark,1h 33m,93,6.3,17000
Comedy,Dongeng Sang Kancil,1h 39m,99,6.8,150
Comedy,Reunion,1h 30m,90,5.6,3500
Comedy,The Problem with People,1h 42m,102,5.8,393
Comedy,The American Society of Magical Negroes,1h 44m,104,3.7,12000
Comedy,This Is Me... Now,1h 5m,65,4.1,7100
Comedy,Universal Language,1h 29m,89,7.1,1200
Comedy,Hot Frosty,1h 32m,92,5.3,15000
Comedy,Munjya,2h 3m,123,6.3,25000
Comedy,Sasquatch Sunset,1h 28m,88,5.4,5400
Comedy,Summer Camp,1h 35m,95,4.5,1500
Comedy,Role Play,1h 40m,100,5.5,19000
Comedy,Let's Start a Cult,1h 30m,90,5.9,1400
Comedy,Shabab Albomb,1h 45m,105,4.8,269
Comedy,Trouble,1h 38m,98,6.2,6700
Comedy,My Favourite Cake,1h 37m,97,7.4,7100
Comedy,Vulgar,1h 43m,103,5.4,122
Comedy,Bookworm,1h 43m,103,6.0,1800
Comedy,Players,1h 45m,105,5.7,12000
Comedy,The Thundermans Return,1h 10m,70,5.0,1800
Comedy,On Becoming a Guinea Fowl,1h 39m,99,7.2,810
Comedy,Wallbanger,1h 58m,118,5.6,657
Comedy,Sookshma Darshini,2h 22m,142,7.8,9900
Comedy,Chuck Billy and the Marvelous Guava Tree,1h 30m,90,7.5,910
Comedy,My Spy: The Eternal City,1h 52m,112,5.7,11000
Comedy,And Mrs,1h 51m,111,5.8,734
Comedy,Boot Camp,1h 34m,94,5.8,1100
Comedy,The Fabulous Four,1h 38m,98,4.8,1500
Comedy,Space Cadet,1h 50m,110,5.0,10000
Comedy,Jönssonligan kommer tillbaka,1h 44m,104,5.9,1300
