Genre,Movie Name,Duration,Duration Minutes,Rating,Votes
Crime,Trap,1h 45m,105,5.8,135000
Crime,Pushpa: The Rule - Part 2,3h 21m,201,6.1,55000
Crime,Longlegs,1h 41m,101,6.6,183000
Crime,Freaky Tales,1h 46m,106,7.1,732
Crime,Juror #2,1h 54m,114,7.0,95000
Crime,The Beekeeper,1h 45m,105,6.3,155000
Crime,Carry-On,1h 59m,119,6.5,163000
Crime,Riff Raff,1h 43m,103,5.7,2600
Crime,The Order,1h 56m,116,6.8,40000
Crime,Emilia Pérez,2h 12m,132,5.4,87000
Crime,MaXXXine,1h 43m,103,6.3,69000
Crime,Despicable Me 4,1h 34m,94,6.2,64000
Crime,Wolfs,1h 48m,108,6.5,81000
Crime,The Crow,1h 51m,111,4.7,34000
Crime,Rebel Ridge,2h 11m,131,6.8,87000
Crime,Lucky Baskhar,2h 28m,148,8.0,31000
Crime,Bad Boys: Ride or Die,1h 55m,115,6.5,99000
Crime,Marco,2h 25m,145,6.9,21000
Crime,Love Lies Bleeding,1h 44m,104,6.6,56000
Crime,The Girl with the Needle,2h 3m,123,7.5,13000
Crime,Monkey Man,2h 1m,121,6.8,91000
Crime,The Seed of the Sacred Fig,2h 47m,167,7.6,13000
Crime,Santosh,2h 8m,128,7.0,1800
Crime,Toofan,2h 25m,145,7.4,7500
Crime,Misericordia,1h 44m,104,6.9,1900
Crime,Sleeping Dogs,1h 50m,110,6.2,21000
Crime,Lift,1h 47m,107,5.5,49000
Crime,Beverly Hills Cop: Axel F,1h 58m,118,6.4,81000
Crime,Maharaja,2h 21m,141,8.4,66000
Crime,The Instigators,1h 41m,101,6.2,37000
Crime,Beating Hearts,2h 46m,166,7.0,4400
Crime,Twilight of the Warriors: Walled In,2h 6m,126,7.0,9300
Crime,Greedy People,1h 52m,112,6.2,11000
Crime,Absolution,1h 52m,112,5.2,7700
Crime,Killer Heat,1h 35m,95,5.6,13000
Crime,Long Gone Heroes,1h 41m,101,5.2,1000
Crime,Brothers,1h 29m,89,5.4,13000
Crime,The Unholy Trinity,1h 33m,93,7.9,49
Crime,Force of Nature: The Dry 2,2h,120,5.8,6900
Crime,Trigger Warning,1h 46m,106,4.6,19000
Crime,Armor,1h 29m,89,3.6,3700
Crime,The Shadow Strays,2h 24m,144,6.5,9100
Crime,The Silent Hour,1h 39m,99,6.1,7300
Crime,Duchess,1h 54m,114,4.6,1300
Crime,Do Patti,2h 6m,126,6.5,68000
Crime,Boneyard,1h 36m,96,4.1,4900
Crime,Hitpig,1h 26m,86,5.1,905
Crime,Harbin,1h 48m,108,6.4,558
Crime,Mea Culpa,2h,120,4.2,7000
Crime,The Thicket,1h 48m,108,5.8,3000
Crime,The Calendar Killer,1h 37m,97,5.4,4100
Crime,Lake George,1h 58m,118,6.3,927
Crime,Baby John,2h 39m,159,5.4,17000
Crime,Megamind vs. The Doom Syndicate,1h 23m,83,2.5,5500
Crime,Sikandar Ka Muqaddar,2h 22m,142,6.0,24000
Crime,Viduthalai Part 2,2h 50m,170,7.9,16000
Crime,Damaged,1h 37m,97,4.7,7200
Crime,Dead Sea,1h 28m,88,5.3,5300
Crime,Blackwater Lane,1h 48m,108,4.6,1800
Crime,Sector 36,2h 3m,123,7.1,25000
Crime,In Youth We Trust,2h 12m,132,6.8,362
Crime,The Quiet Ones,1h 50m,110,6.4,652
Crime,Reputation,1h 23m,83,9.3,8
Crime,Justice,1h 53m,113,6.3,3800
Crime,Trouble,1h 38m,98,6.2,6700
Crime,Dead Wrong,1h 44m,104,3.9,257
Crime,Depravity,1h 57m,117,4.3,970
Crime,Singham Again,2h 24m,144,4.8,75000
Crime,Bangkok Dog,1h 25m,85,5.0,148
Crime,The Thundermans Return,1h 10m,70,5.0,1800
Crime,The Shameless,1h 54m,114,5.7,214
Crime,Colors of Evil: Red,1h 51m,111,6.4,8400
Crime,The Roundup: Punishment,1h 49m,109,6.6,5200
Crime,Detained,1h 37m,97,4.9,1500
Crime,Thalavan,2h 11m,131,7.2,4600
Crime,Jönssonligan kommer tillbaka,1h 44m,104,5.9,1300
Crime,Jigra,2h 33m,153,6.0,23000
Crime,Strictly Confidential,1h 34m,94,2.8,839
Crime,Maharaj,2h 11m,131,6.5,15000
Crime,Golam,2h,120,7.2,5600
Crime,"I, the Executioner",1h 58m,118,6.3,1700
Crime,Badland Hunters,1h 47m,107,5.9,12000
Crime,The Clean Up Crew,1h 35m,95,4.1,1100
Crime,Bougainvillea,2h 18m,138,6.4,3100
Crime,Officer Black Belt,1h 48m,108,6.8,8100
Crime,Code 8: Part II,1h 40m,100,5.7,16000
Crime,Pani,2h 23m,143,6.9,2900
Crime,The Courier,1h 41m,101,6.0,4400
Crime,Dead Mail,1h 46m,106,6.7,296
Crime,Bogota: City of the Lost,1h 48m,108,5.4,1900
Crime,Rats!,1h 25m,85,6.5,114
Crime,Barron's Cove,1h 56m,116,8.2,28
Crime,Anweshippin Kandethum,2h 22m,142,7.4,10000
