Genre,Movie Name,Duration,Duration Minutes,Rating,Votes
Drama,Anora,2h 19m,139,7.5,174000
Drama,Mufasa: The Lion King,1h 58m,118,6.6,58000
Drama,A Complete Unknown,2h 21m,141,7.4,69000
Drama,The Substance,2h 21m,141,7.3,291000
Drama,The Friend,1h 59m,119,6.8,597
Drama,The Brutalist,3h 36m,216,7.4,76000
Drama,Conclave,2h,120,7.4,142000
Drama,Gladiator II,2h 28m,148,6.5,224000
Drama,Babygirl,1h 54m,114,5.9,51000
Drama,Queer,2h 17m,137,6.4,20000
Drama,A Real Pain,1h 30m,90,7.1,84000
Drama,I'm Still Here,2h 17m,137,8.3,101000
Drama,Bring Them Down,1h 46m,106,6.5,2200
Drama,Pushpa: The Rule - Part 2,3h 21m,201,6.1,55000
Drama,Dune: Part Two,2h 46m,166,8.5,620000
Drama,"Husband, Father, Killer: The Alyssa Pladl Story",1h 27m,87,6.3,224
Drama,Parthenope,2h 17m,137,6.6,11000
Drama,The Penguin Lessons,1h 51m,111,7.3,844
Drama,It Ends with Us,2h 10m,130,6.4,84000
Drama,Mon Potongo,2h 29m,149,6.9,290
Drama,Freaky Tales,1h 46m,106,7.1,732
Drama,Juror #2,1h 54m,114,7.0,95000
Drama,Presence,1h 24m,84,6.1,20000
Drama,Speak No Evil,1h 50m,110,6.8,95000
Drama,The Order,1h 56m,116,6.8,40000
Drama,The Apprentice,2h 2m,122,7.1,53000
Drama,Emilia Pérez,2h 12m,132,5.4,87000
Drama,We Live in Time,1h 48m,108,7.0,50000
Drama,September 5,1h 35m,95,7.1,22000
Drama,The Fall Guy,2h 6m,126,6.8,219000
Drama,Horizon: An American Saga - Chapter 1,3h 1m,181,6.7,40000
Drama,Here,1h 44m,104,6.3,20000
Drama,The Last Showgirl,1h 28m,88,6.5,10000
Drama,The Life of Chuck,1h 50m,110,7.7,478
Drama,The Count of Monte-Cristo,2h 58m,178,7.6,33000
Drama,Ask Me What You Want,1h 54m,114,3.7,538
Drama,Saturday Night,1h 49m,109,6.9,30000
Drama,Challengers,2h 11m,131,7.0,153000
Drama,Joker: Folie à Deux,2h 18m,138,5.2,159000
Drama,The Lord of the Rings: The War of the Rohirrim,2h 14m,134,6.3,29000
Drama,Small Things Like These,1h 38m,98,6.8,22000
Drama,Inside Out 2,1h 36m,96,7.5,215000
Drama,A Quiet Place: Day One,1h 39m,99,6.3,148000
Drama,William Tell,2h 13m,133,5.7,2200
Drama,The Return,1h 56m,116,6.2,8000
Drama,Kinds of Kindness,2h 44m,164,6.5,59000
Drama,On Swift Horses,1h 57m,117,6.0,206
Drama,The Assessment,1h 54m,114,7.2,969
Drama,Rebel Ridge,2h 11m,131,6.8,87000
Drama,Megalopolis,2h 18m,138,4.7,35000
Drama,Road House,2h 1m,121,6.2,167000
Drama,Queen of the Ring,2h 20m,140,6.9,913
Drama,Lucky Baskhar,2h 28m,148,8.0,31000
Drama,Nickel Boys,2h 20m,140,7.0,18000
Drama,A Different Man,1h 52m,112,6.9,28000
Drama,The Idea of You,1h 55m,115,6.3,73000
Drama,My Old Ass,1h 29m,89,6.9,38000
Drama,Kingdom of the Planet of the Apes,2h 25m,145,6.9,151000
Drama,IF,1h 44m,104,6.4,58000
Drama,A Nice Indian Boy,1h 36m,96,7.8,295
Drama,Marco,2h 25m,145,6.9,21000
Drama,The Six Triple Eight,2h 7m,127,6.7,26000
Drama,Maria,2h 4m,124,6.4,19000
Drama,Homestead,1h 52m,112,5.3,3500
Drama,Love Lies Bleeding,1h 44m,104,6.6,56000
Drama,The Outrun,1h 58m,118,6.9,15000
Drama,Mothers' Instinct,1h 34m,94,6.3,20000
Drama,Caddo Lake,1h 43m,103,6.8,41000
Drama,Bob Trevino Likes It,1h 41m,101,8.0,689
Drama,Spaceman,1h 47m,107,5.7,43000
Drama,I Saw the TV Glow,1h 40m,100,5.8,35000
Drama,The Room Next Door,1h 47m,107,6.8,19000
Drama,Bird,1h 59m,119,7.0,8200
Drama,My Dead Friend Zoe,1h 43m,103,6.7,2000
Drama,The Girl with the Needle,2h 3m,123,7.5,13000
Drama,Uglies,1h 40m,100,4.7,32000
Drama,The Seed of the Sacred Fig,2h 47m,167,7.6,13000
Drama,Memoir of a Snail,1h 35m,95,7.8,16000
Drama,Kneecap,1h 45m,105,7.6,17000
Drama,Dirty Angels,1h 44m,104,4.3,3300
Drama,Blitz,2h,120,6.2,16000
Drama,Horizon: An American Saga - Chapter 2,3h 10m,190,7.1,1200
Drama,Miller's Girl,1h 33m,93,5.2,23000
Drama,Audrey's Children,1h 50m,110,7.2,337
Drama,Santosh,2h 8m,128,7.0,1800
Drama,The End,2h 28m,148,5.5,1800
Drama,Chosen Family,1h 28m,88,4.7,359
Drama,The Shrouds,1h 59m,119,6.0,933
Drama,Nr. 24,1h 51m,111,7.5,15000
Drama,A Family Affair,1h 51m,111,5.4,36000
Drama,Reagan,2h 21m,141,6.2,11000
Drama,In a Violent Nature,1h 34m,94,5.6,26000
Drama,Misericordia,1h 44m,104,6.9,1900
Drama,Arcadian,1h 32m,92,5.5,23000
Drama,All We Imagine as Light,1h 58m,118,7.1,9400
Drama,Attack on Titan the Movie: The Last Attack,2h 25m,145,9.2,15000
Drama,Lift,1h 47m,107,5.5,49000
Drama,Holy Cow,1h 32m,92,7.2,1400
Drama,Maharaja,2h 21m,141,8.4,66000
Drama,The Instigators,1h 41m,101,6.2,37000
Drama,Distant,1h 27m,87,5.7,3100
Drama,The Marching Band,1h 43m,103,7.4,2600
Drama,McVeigh,1h 30m,90,4.5,463
Drama,Beating Hearts,2h 46m,166,7.0,4500
Drama,Emmanuelle,1h 47m,107,4.2,1500
Drama,La cocina,2h 19m,139,7.2,2700
Drama,Eephus,1h 39m,99,7.2,460
Drama,Hey Joe,1h 57m,117,6.2,180
Drama,Culpa Tuya,1h 58m,118,5.2,13000
Drama,Absolution,1h 52m,112,5.2,7700
